identifiant_dsp;code_postal;ville;field13;type_de_station;emplacement;nom_de_la_station;places_autolib;places_recharge_tiers;nombre_total_de_places
75112-13;75012;Paris;48.8419525, 2.3728276;Station;Voirie;Paris/Rapée/46;4;0;4
75113-36;75013;Paris;48.8303916, 2.356917;Station;Voirie;Paris/Choisy/188;4;0;4
75113-PH;75013;Paris;48.8394311, 2.3711076;Station;Parking;Paris/Austerlitz/29;6;0;6
75114-02;75014;Paris;48.83273, 2.32608;Station;Voirie;Paris/Castagnou/10;4;1;5
75114-17;75014;Paris;48.8256986, 2.3263394;Station;Voirie;Paris/Leclerc/101;4;1;5
75114-20;75014;Paris;48.8236394, 2.3319004;Station;Voirie;Paris/Reille/59;4;1;5
75114-27;75014;Paris;48.8207604, 2.3370783;Station;Voirie;Paris/Jourdan/26;4;0;4
75114-PA;75014;Paris;48.8389, 2.3202;Station;Parking;Paris/Commandant René Mouchotte/15;6;0;6
75115-01;75015;Paris;48.854819, 2.2904053;Station;Voirie;Paris/Fédération/10;4;0;4
75115-05;75015;Paris;48.8483434, 2.3010296;Station;Voirie;Paris/Grenelle/139;4;0;4
75115-17;75015;Paris;48.8425947, 2.2920513;Espace;Voirie;Paris/Etienne Pernet/26;4;1;5
75115-23;75015;Paris;48.83731, 2.278682;Station;Voirie;Paris/Balard/108;4;0;4
75115-25;75015;Paris;48.835427, 2.2851648;Station;Voirie;Paris/Vasco de Gama/74;4;0;4
75115-53;75015;Paris;48.8435537, 2.3061617;Station;Voirie;Paris/Lecourbe/63;4;0;4
